,title,location,description
179,"
Technical Designer
","


Jack Spade

","Overview:
JACK SPADE began in 1996 out of a warehouse on Warren Street in New York City. It grew out of the idea that useful items could also be stylish. We started using waxed fabrics and heavy canvas to make a few bags for friends. Over time we received feedback, made changes and developed a line of straightforward shapes. Then we thought, why not sell them to people who really use utility bags? The first JACK SPADE bag was sold to a hardware store in 1997. Today, JACK SPADE has grown to include clothing, small goods and accessories. We’ve remained true to the idea that good design solves a problem with straightforward solutions, using timeless and durable materials.

JACK SPADE can be found online at jackspade.com, in our 10 (soon to be 12) retail stores in the US, London and Tokyo, in addition to top select stores worldwide.


General purpose of the position: 
The technical designer is responsible for assisting the design team in all aspects of the design process and providing support as needed. He or she will be responsible for working with the design and pd teams to meet deadlines for creating and passing product specs for all stages of development - concept through production.
Responsibilities:
•	facilitate the transition of styles from design concept / first prototype to a final, production-ready sample.
•	execute design and fit intent into bulk production while maintaining high quality standards. 
•	collaborate with business partners to gain clear direction and consensus of fit intent; ensure size and fit consistency within the brand and across product categories. 
•	complete design specification package, including: flat sketch with measurements, construction details, measurement specifications with appropriate tolerances and any predefined performance standards.
•	manage and facilitate the communication of all information necessary to create garment, including: boms, graphics and placements.
•	develop technical specifications and communicate fit to vendors / factories for corrections and approvals.
•	support business partners on creation of a style by establishing the initial block spec and construction detail. 
•	ensure products are developed in a manner consistent with established fit and quality standards, manufacturer capabilities and cost specifications. 
•	identify potential production, quality and costing issues and make recommendations to ensure brand integrity.
•	analyze garments to determine compliance of spec, construction, and fit intent. 
•	manage and facilitate fit session on live model and / or mannequin and take ownership of specific product(s). 
•	make appropriate fit and construction adjustments with factories as required to ensure integrity of design-approved prototypes while monitoring quality and targeted price.
•	manage the sample development process and ensure seasonal deadlines are met; support the t&a calendar objectives.
•	collaborate and develop close working relationships with design, r&d, merchandising, production, qa, sourcing offices and vendors to ensure the quality, delivery and business practices are achieved and upheld.
•	foster open communication and a team environment with all business partners; receive constructive feedback professionally. 
•	track and manage workflow and workload for own product and ensure product areas are maintained. 
•	perform other duties as required.


Qualifications:
•	Bachelor's degree in fashion - apparel/textile design, manufacturing, product development, merchandising, or a related field.
•	Proficiency in ms word, excel, outlook, micrografix, illustrator, photoshop, adobe illustrator
•	5+ years work experience in the fashion industry including technical design and / or patternmaking with construction experience and full knowledge of total production timeline. other knowledge should include an understanding of grading, costing of garments, textiles, garment testing, draping and fitting.
•	Thorough understanding of the design & development process from inception through production. 
•	Knowledge of garment construction standards and manufacturing methods and textiles and interlinings and how they interact with the cutting and sewing of a garment. 
•	Ability to properly measure garments according to manual standards.
•	Strong design, prototyping, and research skills.
•	Attention to detail, initiative, organization and strong verbal and written communication skills.
•	Ability to multi-task, proactively trouble shoot, problem solve, and the ability to effectively influence.
•	Strong pattern making and draping knowledge is required.
•	Willingness to travel.
•	Organized, accurate and articulate


*li-ga1"
180,"
Technical Designer - Women's Knits
","


Aeropostale

","The Technical Designer, in partnership with Design and Production teams, ensures all product is consistent with brand standards and seasonal design concepts for specific classifications. He/she leverages skills in garment grading/specifications, fit and construction, fabrics, sewing operations, and pattern making to fulfill these objectives.

Position Responsibilities:

•Work with design team to develop initial specs for each new season
•Work with Department Director and Cross Functional partners on competitive fit analysis meetings, and other relevant meetings
•Lead and conduct fittings for production communicating all pattern corrections to vendors
•Use flat sketches and digital photo images as necessary to communicate corrections to a garment or pattern
•Complete fit comments in a timely manner
•Create and develop blocks fits for each category
•Make pattern corrections to vendors’ patterns as necessary
•Enforce company grade rules and tolerances, and quality standards
•Establish fit consistency within each brand and across vendors
•Mentor Assistant and/or Associate Technical Designers with all of the above

Position Requirements:

•5-7 years of relevant work experience
•Degree in fashion design, knowledge of production pattern making
•Knowledge of fabrics, trims and sewing operations associated with standard product types
•A strong understanding of the Product Development and Manufacturing Processes in partnership with offshore manufacturer, domestic importing and/or foreign trading companies
•Flexible, organized, team player
•Excellent written and verbal communication skills

We offer a competitive salary and a comprehensive benefit package that includes outstanding bonus potential, a casual work environment, a generous merchandise discount and realistic growth potential. Aéropostale, Inc. is an equal opportunity employer, M/F"
181,"
Holiday Retail Visual Merchandiser
","


Macy's

","Overview:

As a Holiday Visual Merchandising Associate, you will be an integral part of bringing the magic of Macy's to life during the fast-paced holiday season.  Associates in this role perform a number of functions that are critical to offering our customers the best experience when they shop in our store.   While all holiday positions require working as part of a team to meet department and store objectives, your individual responsibilities include creating the customer's first impression of Macy's.  We will rely on you to not only implement corporate visual standards, but also add your own unique and innovative visual flair.  Holiday Visual Merchandising Associates are an integral part of Macy's success, giving us the ability to maintain our iconic merchandising standards, recognized as among the best in the industry.
 
In order to present our customers with the best holiday shopping experience, many of our Holiday Visual Merchandising Associates arrive prior to store opening and remain after closing to ensure we are ready to make Macy's magic.  Holiday associates will have the opportunity to work a flexible schedule on a temporary basis, which may include early mornings, evenings, weekends and busy events such as the day after Thanksgiving and the day after Christmas.  And don't forget - just in time for holiday shopping, you will receive an employee discount of up to 20% starting your first day!
 
Essential Functions:
 
Be creative, innovative and imaginative through execution of Visual Merchandising
Execute visual standards according to company directives
Maintain and present visual displays in an influential manner
Produce quality work in a consistent, timely and organized manner
Update/maintain mannequin and form styling as directed by new receipts and seasonal changes
Grid fixtures /Adjust lighting
Installation of window displays (where applicable)
Execute the promotional calendar
Maintain Visual shop, department tools, supplies and visual equipment
Assist with special events
Perform other duties as assigned
Regular, dependable attendance and punctuality
Qualifications:
Education/Experience: Prior Visual Display, Fashion Merchandising, Design experience a plus; experience in retail merchandising in ready-to-wear or home
Communication Skills: Strong communication and interpersonal skills. Ability to read and interpret a variety of diagrams
Mathematical Skills: No specific mathematical skills required
Reasoning Ability: Ability to work as part of a team, or independently with little direct supervision
Physical Demands: Position may include frequent lifting, bending, reaching, and the use of ladders and other equipment.
Other Skills: Highly organized with an attention to detail. Comfortable in using a computer and open to learning new programs and systems.
Work Hours: Available to work a flexible schedule, which may include early morning, evening, overnight, weekends, holidays, and major sales events. Hours are subject to change based on business needs.
Macy's is an Equal Opportunity Employer, committed to a diverse and inclusive work environment"
182,"
Financial Analyst
","


Ensemble Investments

","Ensemble Investments is a commercial real estate firm that invests in and develops hotels and healthcare projects.  We have a proven track record and a successful history of investing with a variety of capital partners including pension funds, REITs, and private high net worth individuals, Ensemble targets transactions from $10 Million to $250 Million.  Ensemble is currently raising a private hotel investment fund and is positioned to close on many transactions in the near future in which the Financial Analyst will play a pivotal role.  

Ensemble is looking to hire a motivated candidate with strong analytical and communication skills who will provide development and acquisition support to senior professionals at the firm.  The Financial Analyst will be responsible for financial modeling, writing investment summaries, risk/reward analysis, market research, monitoring asset performance, and decision support along with assisting entitlement and development activities. The ideal candidate will work well in a team environment and be able to manage and prioritize many projects at once. 

Job Requirements
Key Responsibilities: 
-Underwriting potential acquisitions, including performing due diligence, conducting market research, and modeling cash flows and deal structures 
-Underwrite new investment and development opportunities using Microsoft Excel and Argus Software. Analysis to include cash flow modeling, property valuations, investment analyses (IRRs, CAP rate, sensitivity tables, etc.) and investment structuring. 
-Analyze and underwrite potential acquisition opportunities 
-Prepare narrative deal summaries and capital memoranda 
-Understand physical characteristics of properties and the related competitive advantages and disadvantages 
-Assemble and gather market information including rental and sales comparables, vacancy rates, and expense comparables through independent field work and direct contact with brokers, appraisers and developers 
-Review and analyze legal contracts such as applications, commitments and loan documents 
-Assemble the above referenced information into a concise memorandum, thorough narrative description of the transaction 

Required Skills and Responsibilities: 
-Undergraduate degree with a strong understanding of financial concepts 
-Excellent verbal and written communication skills 
-Excellent planning, organization and interpersonal skills 
-Ability to function in a team-oriented setting and to work well on your own 
-Attention to detail and ability to function under tight time frames 
-Ability to work accurately and efficiently 
-Ability to handle multiple projects at one time 
-Strong sense of personal motivation and responsibility"
183,"
Visual Merchandising Manager
","


Bath & Body Works

","The Manager of Visual Merchandising is responsible for the creation and implementation of visual strategies that will evolve the retail experience, support Brand Equity and ensure customer-centric storytelling that is scalable. This leader will manage a team in the execution of seasonal floor sets, testing, launches and market translations that are in alignment with the Brand strategy set by cross-functional leadership. This role is focused on driving the growth and evolution of the in-store experience of our Blue Chip categories. The Manager must have a strong understanding of the competitive landscape and be able to interpret appropriate trends as they relate to the Fragrance business and strategies. Collaborate with Merchants and Marketing partners to drive traffic, ensure optimal profitability and a compelling Brand experience. 

Responsibilities
-Partner with Visual Merchandising Director to develop innovative, creative, brand-right concepts for each floor set that supports brand business objectives
-Lead a team in the visual positioning and merchandising execution of seasonal floorsets, product launches, tests and creative updates to meet Marketing timelines and budgets
-Manage Blue Chip projects related to growth opportunities and, or the identification of new business opportunities, including the delivery of key milestones, the development of highly-creative/on-budget merchandising concepts, and concept presentations
-Drive innovation and deliver strategic visual merchandising solutions that integrate business, brand and creative objectives
-Work collaboratively to translate brand and merchant strategies into clear creative concepts and product launches that bring the product vision to life and drive sales through strategic merchandise placement
-Partner with internal Marketing Partners including Production, Operations, Art/Creative Directors and Visual Communications on all seasonal floorsets, tests and launches to ensure the execution of a singular vision that meets the strategic objectives
-Visit stores monthly to maintain customer/associate intimacy and ensure clear and effective translation of visual strategies in stores. Use visits to identify go-forward opportunities and apply learnings to achieve flawless execution and selling success.
-Deliver continual evolution of store experience via application of seasonal learnings and the integration of market patterning
-Partner and influence effectively with leadership, peers and cross-functional team members at all levels- 
-Effectively manage Specialist teams; prioritize development timelines and budgets in to align with promotional calendar and targets

Qualifications
-Proven track record in development/translation of strategic brand concepts and positioning a must
-5+ years of experience creating, managing, executing and presenting visual merchandising strategies, fixtures/displays and processes- 
-Strong ability to provide creative leadership, set and maintain high creative standards and bring innovation -to the Brand
-Demonstrated problem analysis, problem resolution and decision-making skills
-Excellent communication and presentation skills
-Project management experience with attention to detail, ability to multi-task & prioritize
-Proven leadership skills, including the ability to lead and inspire other talent to do great work; able to lead leaders, be a leader with peers and manage up effectively
-BS or BA in Marketing, Fashion Merchandising and/or Design or related area
-Proficient on a Mac platform, with working knowledge of Adobe Creative Suite. Programs also include: Microsoft Office 
Bath and Body Works, a member of the Limited Brands family, has reinvented the personal care industry with the introduction of fragrant flavorful indulgences, including shower gels, lotions, candles and accessories. With a focus on creating and offering the best products and an emphasis on innovation from nature, Bath and Body Works is the ultimate personal care destination."
184,"
Associate Technical Designer - Sweaters
","


Lands' End

","Lands’ End is a premier source of apparel and gear for women, men, kids and the home – sold by catalog, online, and nearly 300 Lands’ End Shops at Sears. Since 1963, we’ve earned a reputation for quality, value and exceptional customer service embodied by one simple promise: everything we sell is Guaranteed. Period.® Lands’ End is a proud member of the Sears Holdings Corporation (NASDAQ: SHLD) family of companies.

As an Associate Technical Designer, you will seamlessly partner with the Product Development team from initial concept through fit, product adoption and through production. You will execute the fit to successfully translate the product design and style vision into a consistent fit and quality level through application of blocks, accurate specification packages and fit session management to support overall product engineering, IMU and quality goals. 
 
	
YOUR KEY RESPONSIBLITIES: 
•	Identify and advise on the fit, production, quality and costing issues to ensure brand integrity. 
•	Support initiatives to design/develop innovative construction as it relates to fit and cost savings. 
•	Contribute to the development and implementation, in conjunction with functional partners, standardized development specification packages 
•	Create and maintain apparel specifications and standards to reflect optimum fit, construction and styling relative to brand strategies. 
•	Assign fit block specifications to the style level to achieve fit expectations. 
•	Translate fit session outcomes to improve product fit and quality of construction. 
•	Analyze returns data, share necessary data with product development team. Initiate and implement corrective action plans as needed."
185,"
Sr. Manager, Wholesale Merchandise Planning
","


Coach

","Coach, founded in 1941, is America's premier accessible luxury accessories brand and a leader in international markets. We are a designer and marketer of high quality, modern accessories that complement the diverse lifestyles of today's consumer. Coach offers excellent career growth opportunities, competitive salaries and great benefits within a dynamic work environment.

Coach brings together strong, collaborative people in a dynamic culture of mutual respect, support, and passion for the brand and product. We believe innovation drives winning performance, and we constantly challenge ourselves to be the very best we can in every aspect of our business. You will be surrounded by some of the best and brightest people in the industry. At Coach, you will be in great company!

Primary Purpose: Support the delivery of the NAW shipment AOP/LE and strategies to drive full price POS growth through shipment, product, assortments, and POS planning.

The successful individual will leverage their proficiency to...

Wholesale Shipment Planning

Collaborate with Ops team to support monthly LE process.
Communicate and manage Handbags inventory by partnering with Planning & Logistics team to work through various shipment flow scenarios.
Manage planning and re-forecasting of product shipments in CPS.
Accurate review and reconciliation of all components of SKU forecasts.
Increase revenue by working with P&L to explore different shipping options to reduce air freight where applicable.

Product Planning

Develop topline classification strategies to drive full price comp and increase productivity.
Communicate and execute product needs with Corporate Merchandising.
Hold weekly business reviews with Corp Merch partners to identify Handbag assortment opportunities. Execute monthly decks to support Global Sales Trend meetings.
Execute analysis for monthly Business Reviews and Quarterly highlight meetings for senior management.
Manage pilot reporting for NAW channel. Analyze selling, provide hindsight results, and communicate strategic position.

Location Assortment Planning

Develop Handbag assortment strategies at location level (profile/volume) to execute account allocations for Market. Work with Business Planning to identify account product needs.
Manage all Handbag CPS planning modules and ensure accurate tie out.
Utilize product attribute analysis (silhouette, color, price, fabrication) to articulate recommendations for Handbag buys.
Ensure proper usage of product and location filters to maximize specific door opportunities.

POS Planning

Identify Handbag product risks/opportunities through POS planning tool to proactively react to trends and adjust forecast. Ensure financial requirements are met.
Plan and project key volume drivers to ensure appropriate positioning and maximize growth.
Review weekly selling with manager to analyze projections.

Leadership Development

Focus on core competency development to grow leadership skills.
Manage & mentor summer interns on development of core competencies.
Support continual cross functional training across NAW departments on business process to increase efficiency among teams, reduce redundancies and improve productivity.
Support training to Sales before and during seasonal markets:
Present NAW strategies
Key Investments and Market Prep meetings.
Communicate market updates to Business Planning and Operations and partner with them to ensure execution of strategy.

The accomplished individual will possess...

Bachelor’s degree.
Minimum 5-6 years of experience in merchandise planning or buying.
Experience in wholesale and luxury brand merchandise planning a plus.
Strong analytical skills.
Advanced knowledge of Excel. Arthur knowledge a plus.
Strong time management and task prioritization skills.
Strong attention to detail and accuracy.
Retail math.

Coach is an equal opportunity and affirmative action employer and we pride ourselves on hiring and developing the best people. All employment decisions (including recruitment, hiring, promotion, compensation, transfer, training, discipline and termination) are based on the applicant's or employee's qualifications as they relate to the requirements of the position under consideration. These decisions are made without regard to race, sex, national origin, color, age, disability, veteran status, pregnancy, sexual orientation, religion or any other basis prohibited by applicable law. *LI-MM Visit Coach at www.coach.com."
186,"
Senior Business Valuation Analyst
","


Kforce  

","Description  
Our client is seeking a Senior Business Valuation Analyst for their Pittsburgh, Pennsylvania (PA) location. 

Responsibilities 
-Research valuation, economic damages and other relevant theory questions and present conclusions to shareholders or managers
-Prepare engagement and management representation letters
-Understand relationship between basic accounts/transactions
-Working knowledge of firm's computer and software packages
-Attend required CPE Seminars
-Participate in orientation courses as a discussion leader for new staff
-Perform other assigned duties, as requested

Requirements  
-Senior Business Valuation Analyst Qualifications (required unless noted otherwise): BS degree in Accounting with 3 to 5 years of business valuation experience in a public accounting environment
-Working knowledge of accounting and auditing principles
-Ability to recognize issues and develop necessary skills needed to solve problems
-Ability to apply common sense understanding to carry out instructions furnished in written, oral, or diagram form
-Effective oral, written, and interpersonal communication skills
-Excellent analytical skills, attention to detail and problem-solving skills"
187,"
Assistant Merchandiser - Women's Knits
","


Aeropostale

","The Assistant Merchandiser is responsible for providing organizational support to the merchandising team and partnering with their Merchandiser on the running of the day-to-day business. He/she leverages organizational & analytical skills, as well an eye for relevant trends, to support the brand and the achievement of financial goals.

Position Responsibilities:

•Ensure all information and samples are set up and organized for easy access by all team members
•Maintain on order tracking and follow up, PO sample tracking and daily reporting
•Possess knowledge of overall department to be able to provide team members with all requested information
•Run selling reports and analyze to identify best and slow sellers; Review with team to determine how information should be interpreted and reacted to
•Visit stores and shop competitors to understand promotional strategies and customer base
•Develop an understanding of weekly reports and source of statistical data
•Work to increase knowledge by combining reports and formulating conclusions
•Develop relationships with cross-functional team members (Design, Production, Planning & Allocation, etc.)
•Understand the different roles of the cross-functional team and how they relate to the Merchandising role
•Work with Planning and Allocation to oversee the PO process
•Take detailed notes during line reviews with Design; Follow thru on any outstanding issues
•Partner with Production to update and monitor on-order and shipping reports; Surface any potential issues to supervisor
•Filter information to draw inferences, create solutions, and adjust strategies to maximize the business and drive the merchandising process forward. 
•Proactively seek out new opportunities to grow the business and further personal & professional development.

Position Requirements:

•Excellent communication, organization, and time management skills. 
•Ability to multitask and adjust to shifting priorities in a fast paced environment
•Understanding of retail math concepts 
•Understanding of the youth market and Aero customer
•Commitment to learning and continuous development 
•Proficiency in MS Office, especially Excel

We offer a competitive salary and a comprehensive benefit package that includes outstanding bonus potential, a casual work environment, a generous merchandise discount and realistic growth potential. Aéropostale, Inc. is an equal opportunity employer, M/F"
188,"
Director - Wholesale
","


Jack Spade

","Overview:
JACK SPADE began in 1996 out of a warehouse on Warren Street in New York City. It grew out of the idea that useful items could also be stylish. We started using waxed fabrics and heavy canvas to make a few bags for friends. Over time we received feedback, made changes and developed a line of straightforward shapes. Then we thought, why not sell them to people who really use utility bags? The first JACK SPADE bag was sold to a hardware store in 1997. Today, JACK SPADE has grown to include clothing, small goods and accessories. We’ve remained true to the idea that good design solves a problem with straightforward solutions, using timeless and durable materials.

JACK SPADE can be found online at jackspade.com, in our 11 retail stores in the US, London and Tokyo, in addition to top select stores worldwide.
As a key member of the Jack Spade leadership team, you will be responsible for the growth of the brand presence across the globe. You will develop key relationships that align with the Jack Spade brand mission, and build a scalable strategy to ensure continued success globally.
Responsibilities:
•	Oversee market strategy for Jack Spade’s global wholesale presence across all categories
•	Ensure brand consistency with global assortment strategy in partnership with joint ventures and subsidiary 
•	Manage, develop and grow a team of three account executives
•	Ensure the growth and success of our valued partnership accounts year over year 
•	Develop strategic relationships with wholesale buyers to build best possible assortments based on our evolving product offering
•	Consistently analyze past & present business and opportunities. Stay on top of the competitive marketplace, driving proactive growth/protection of business segments’ success
•	Responsible for building a distribution roadmap for growth that is in line with growth of brand with an awareness of who the critical volume building and image building accounts are across flagship markets. 
•	Partner with merchandising to ensure product needs for each account are being met and a healthy replenishment business is grown and maintained. 
Qualifications:
•	8 years of experience in wholesale 
•	Experience in a global menswear sales with established relationships
•	Strategic, long range thinker who can react quickly to the day to day 
•	Strong analytical skills including industry-based retail and wholesale math facility
•	Strong written/verbal/presentation skills"
189,"
Senior Financial Analyst
","


Robert Half Management Resources

","Description:
Large telecommunications company client in Nor ht Dallas seeks a Senior Financial Analyst for a four-month project opportunity. Primary emphasis will be supporting the Senior Vice President of Research and Development (R&D). The Senior Financial Analyst consultant will be the primary point of contact for all financial issues, including project spending, planning, forecasting and annual budgeting. The consultant will also perform analysis of the operating results and financial performance of core business segments supporting public reporting requirements, and provide decision-making support for future company investments.

Requirements:
Seven+ years experience in operations finance required; Telecom or construction finance experience strongly preferred. Strong proficiency in Excel, Hyperion Essbase and PowerPoint also required. MBA preferred.
Companies need experienced finance, accounting and business systems consultants to assist with or lead their key initiatives. This is our specialty. Robert Half Management Resources places highly skilled consultants on interim and project engagements in organizations ranging from start-ups to FORTUNE® 1000 firms. As a consultant working on our team, you will benefit from our worldwide network of over 150 offices, which delivers an array of rewarding local opportunities and the flexibility for work/life balance while achieving your career goals. Our industry-leading alliances and broad client network provide you greater access to a variety of unique interim and long-term project opportunities that can keep you continuously engaged as a consultant. We also provide competitive benefits and compensation packages, as well as online training and continuing professional education (CPE).

Robert Half Management Resources is an Equal Opportunity Employer. For details on our Canadian program, please contact your local branch. In 2013 our company was once again listed on FORTUNE® magazine's list of ""World's Most Admired Companies."" (March 18, 2013).

At Robert Half Management Resources, your experience matters - and we put it to good use. To apply for this position or for more information on other engagements, visit us online at www.roberthalfmr.com or call your branch office at 1.888.400.7474.

All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.
Dallas Galleria, TX
5005 Lyndon B Johnson Freeway
Suite 400
Dallas, TX 75244
Phone: 972.661.2187
Fax: 972.661.8872
E-mail: dallas.galleria@roberthalfmr.com"
190,"
Holiday Retail Visual Merchandiser 
","


Macy's

","Description
 
Overview:

As a Holiday Visual Merchandising Associate, you will be an integral part of bringing the magic of Macy's to life during the fast-paced holiday season.  Associates in this role perform a number of functions that are critical to offering our customers the best experience when they shop in our store.   While all holiday positions require working as part of a team to meet department and store objectives, your individual responsibilities include creating the customer's first impression of Macy's.  We will rely on you to not only implement corporate visual standards, but also add your own unique and innovative visual flair.  Holiday Visual Merchandising Associates are an integral part of Macy's success, giving us the ability to maintain our iconic merchandising standards, recognized as among the best in the industry.
 
In order to present our customers with the best holiday shopping experience, many of our Holiday Visual Merchandising Associates arrive prior to store opening and remain after closing to ensure we are ready to make Macy's magic.  Holiday associates will have the opportunity to work a flexible schedule on a temporary basis, which may include early mornings, evenings, weekends and busy events such as the day after Thanksgiving and the day after Christmas.  And don't forget - just in time for holiday shopping, you will receive an employee discount of up to 20% starting your first day!
 
Essential Functions:
 
Be creative, innovative and imaginative through execution of Visual Merchandising
Execute visual standards according to company directives
Maintain and present visual displays in an influential manner
Produce quality work in a consistent, timely and organized manner
Update/maintain mannequin and form styling as directed by new receipts and seasonal changes
Grid fixtures /Adjust lighting
Installation of window displays (where applicable)
Execute the promotional calendar
Maintain Visual shop, department tools, supplies and visual equipment
Assist with special events
Perform other duties as assigned
Regular, dependable attendance and punctuality
Qualifications:
Education/Experience: Prior Visual Display, Fashion Merchandising, Design experience a plus; experience in retail merchandising in ready-to-wear or home
Communication Skills: Strong communication and interpersonal skills. Ability to read and interpret a variety of diagrams
Mathematical Skills: No specific mathematical skills required
Reasoning Ability: Ability to work as part of a team, or independently with little direct supervision
Physical Demands: Position may include frequent lifting, bending, reaching, and the use of ladders and other equipment.
Other Skills: Highly organized with an attention to detail. Comfortable in using a computer and open to learning new programs and systems.
Work Hours: Available to work a flexible schedule, which may include early morning, evening, overnight, weekends, holidays, and major sales events. Hours are subject to change based on business needs.
Macy's is an Equal Opportunity Employer, committed to a diverse and inclusive work environment"
191,"
Merchant Leadership Program
","


Urban Outfitters

","Our Company
From a small West Philadelphia storefront in 1970, Urban Outfitters, Inc. has grown to a $2+ billion company with five niche brands: Anthropologie, Free People, Urban Outfitters, Terrain and, our newest brand, BHLDN. Our Company’s success comes from our strong community, a deeply creative atmosphere and a passion for the lifestyle of each customer we serve. More than 15,000 employees drive our innovative culture and maintain the entrepreneurial roots the Company was founded on more than 40 years ago. If your passion includes creating an ""unimagined experience"" for our customers, this is the place for you.
 
The Program
Think you have what it takes to be a buyer in one of the most exciting and innovative apparel retailers? Are you the one everyone asks for fashion advice? Do you have a knack for turning thrift store finds into million dollar looks? Then Urban Outiffters' Merchant Leadership Program is the opportunity to turn your love of fashion into a dynamic career.
Based in our Philadelphia home offices, the year-long rotation program provides a hands-on approach to how we create compelling products and experiences in our stores, websites and catalogs. During the year, you’ll supplement ""on the job"" learning with targeted training plus mentoring from Urban Outfitters' executive team. From design to buying and sourcing to stores, you’ll see what it takes to be a future leader in our Company.
Upon completion of the rotations, successful candidates graduate as Assistant Buyers and are placed with buying teams. This Program is the path to the leadership in our buying organization, therefore placement is ultra-competitive. So, if you love Urban Outfitters and know you’ll be an amazing buyer, tell us who you are.
 
Qualifications
Passion for the Urban Outfitters Brand and knowledge of fashion trends
Proven leadership with the ability to collaborate within teams
Play to win attitude
Self-starter, goal-oriented and the ability to prioritize what’s important 
Creative thinker, with strong analytical skills and an aptitude for business 
Strong interpersonal skills; exceptional written and verbal communication
Bachelor's degree with stellar academic performance (Minimum GPA 3.2)
Prior retail experience or internships with the industry preferred
 
How to Apply
Submit your resume along with your cover letter that answers 1) why you are interested in working for Urban Outfitters and 2) why you want to be part of the Merchant Leadership Program.
In addition, you'll need to present a product inspiration board (8.5x11 PDF) that demonstrates understanding of the Urban Outfitters brand.  Be creative; we want to know what inspires you, our customer.  The board can be magazine tears, pictures, etc. 
 
Resume, cover letter, and inspiration board must be combined into one PDF file (upload this file under Resume for your online application).  As you are completing your candidate profile, please upload a copy of your most recent transcript in the Documents section.  Both of these steps must be completed by September 30, 2013.  Apply early!  We have a rolling admission process for a select number of interview spots. Incomplete applications will not be considered.
 
*Please do not apply for more than one brand, otherwise your application will be disqualified."
192,"
Executive Vice President of Footwear
","


DKNY

","Overview:
The Donna Karan Company LLC, one of the world's leading fashion houses, is currently seeking an Executive Vice President of Footwear to join its team in New York City. 
Responsibilities:
Strategy
Develop, implement and analyze brand business strategies that maximize overall sales growth and profitability
Continually evaluate brand positioning and competitive business practices to ensure the overall product and brand vision is maintained
Maintain updated knowledge business practices within the industry. Assess the viability of these applications for the company in achieving efficiencies and/or expense reduction, and sales growth. Ensure appropriate management is aware of and/or directly applies these best practices
Facilitate communication and teamwork among departments within brand to maximize flow and timeliness of information
Design/Merchandising
Lead the product development process and keep division on calendar to maximize efficiencies in the design, merchandising, production and sales areas
Partner with DKNY Division President to create product that supports a profitable design-driven, retail-focused organization
Sales/Marketing
Strategize sales planning from a “bottoms-up” approach to maximize sell-through and margins at retail
Establish and maintain positive, productive relationships with retailers to drive sales and maximize sell-through and margins
Partner with sales teams to develop key selling strategies by door
Ensure timely communication of information from the sales teams to design teams each season regarding customer/buyer reactions and feedback for future design initiatives
 Financial
Partner with Division President to lead financial planning process for division and monitor operating budget to ensure financial goals are being met and reforecasting as necessary
Management / Organizational Development
Develop collaboration and teamwork, within and outside of brand. Appropriately involve others in decision making so that the best decision is made for the business
Oversee effective talent development, career pathing, and succession planning initiatives for the brand ensuring that employee skills, knowledge, and abilities are maximized in all areas
Establish clear direction and performance expectations for the area. Ensure that constructive feedback focused on improving individual and business performance is regularly shared throughout the area with employees
Qualifications:
10-15 years experience at the management level 
Proven results in implementing, strategizing and directing a profitable business
Superior merchandising, sales and production skills"
